id_speech,id_extract,emerging_topic,textual_extract
M_54,M_54_peace_and_security,Peace and security,ITIPA has consistently supported efforts by sub-regional and regional organizations to bring durable and lasting peace in the Sudan.
M_54,M_54_development_sdgs,Development / SDGs,"Ethiopia targets to generate 13,000 megawatts by 2030, aiming also to scale up our energy supply across East Africa."
M_55,M_55_peace_and_security,Peace and security,"Russia is destabilizing the situation in Europe through open aggression, hybrid operations, acts of subversion and sabotage."
M_55,M_55_ai_digital_transformation,AI / digital transformation,"New technologies, such as artificial intelligence or superintelligence, should always serve humanity as they develop, rather than exploit people or their weaknesses."
M_55,M_55_migration,Migration,an artificially induced migration crisis.
M_55,M_55_human_rights,Human rights,Too many people around the world still face persecution because of their faith.
M_55,M_55_development_sdgs,Development / SDGs,Today Poland is the world's 20th-largest economy... we view this experience... as a commitment to share with others.
M_55,M_55_climate_change,Climate change,"Poland supports environmental protection efforts, recognizing their impact on security, including food security."
M_55,M_55_food_security,Food security,striking at global food security through attacks on ports and ships transporting grain.
M_56,M_56_climate_change,Climate change,"The world is experiencing increasing devastating floods, relentless heatwaves, frequent hurricanes and prolonged periods of drought."
M_56,M_56_financing_debt,Financing / debt,"Middle-Income countries continue to face high borrowing costs, limited fiscal space, debt vulnerabilities, climate-related shocks and persistent inequalities."
M_56,M_56_ai_digital_transformation,AI / digital transformation,"Namibia also takes cognizance of the rapid advancement artificial intelligence (AI) in advancing human progress, in line with the Global Digital Compact."
M_56,M_56_peace_and_security,Peace and security,"images of suffering of innocent civilians, such as in Sudan and Eastern DRC, large-scale internal displacement, cross-border migration, and humanitarian crises."
M_56,M_56_human_rights,Human rights,"restorative remedies, including reparations, must be put in place to address these historic injustices."
M_56,M_56_development_sdgs,Development / SDGs,"As we forge ahead with the SDGs, reform of the international financial architecture is critical to a more equitable and inclusive global economic order."
M_56,M_56_food_security,Food security,"we are preparing our young people for the emerging industries such as oil and gas, renewable energy, and Green hydrogen among others."
M_57,M_57_ai_digital_transformation,AI / digital transformation,The growing use of AI-powered weapons and autonomous systems also requires urgent attention.
M_57,M_57_peace_and_security,Peace and security,"The war in Ukraine, now in its fifth year, continues to bring destruction close to Slovakia's border."
M_57,M_57_technology_digital_divide,Technology / digital divide,"It is in our common interest that innovation benefits all of humanity, not only the strongest economies or the biggest companies."
M_58,M_58_peace_and_security,Peace and security,"Last year, the world recorded 65 state-based armed conflicts; the highest number documented in eight decades of global conflict data."
M_58,M_58_financing_debt,Financing / debt,Global public debt reached a record 102 trillion dollars in 2024... Forty-six developing countries now spend more on interest than on either health or education.
M_58,M_58_development_sdgs,Development / SDGs,Kenya has chosen to invest in that generation... an additional $5.3 billion in education.
M_58,M_58_inequality,Inequality,Sovereign credit ratings shape perceptions of risk... costing African countries approximately 75 billion dollars through excessive interest and foregone lending.
M_59,M_59_peace_and_security,Peace and security,"Serbia will defend its country, its territorial integrity, the UN Charter and the UN Security Council Resolution 1244."
M_59,M_59_ai_digital_transformation,AI / digital transformation,"Artificial intelligence is already changing the economy, education, medicine, security, the labour market and the way states function."
M_59,M_59_other,Other,Serbia's European path... proposed that the Western Balkans be gradually integrated into the EU Single Market.
M_60,M_60_climate_change,Climate change,"For Mozambique, climate change means lost lives, displaced families, destroyed crops, and damaged infrastructure."
M_60,M_60_peace_and_security,Peace and security,"In Cabo Delgado, we have made progress in combating terrorism and strengthening security."
M_60,M_60_financing_debt,Financing / debt,"We continue to advocate for a fairer international financial architecture, with predictable and accessible financing and sustainable debt solutions."
M_60,M_60_ai_digital_transformation,AI / digital transformation,"investment in connectivity, computing capacity, scientific research, training, technology transfer, and the ethical governance of artificial intelligence."
M_60,M_60_development_sdgs,Development / SDGs,"With less than four years remaining to achieve the 2030 Agenda, developing countries continue to face high financing costs, rising debt."
M_61,M_61_development_sdgs,Development / SDGs,"SEMONDU2040 program embodies a structural transformation initiative for our economy, covering infrastructure, agriculture, energy, education, health"
M_61,M_61_inequality,Inequality,"Governance models tailored to reflect historical, social and cultural realities rather than imposed external models"
M_63,M_63_peace_and_security,Peace and security,Transnational organised crime does not respect borders; trafficking networks and gangs operate in several countries at the same time
M_63,M_63_climate_change,Climate change,Severe drought and hurricanes have the same root cause: a climate operating at increasing extremes
M_63,M_63_food_security,Food security,"Honduras sees its agriculture, fisheries and poultry industries as fundamental pillars for economic development as well as for food security"
M_63,M_63_financing_debt,Financing / debt,"We increased our international reserves to the tune of 1.3 billion dollars, an increase of 13%, adhering to IMF guidelines"
M_63,M_63_development_sdgs,Development / SDGs,"We invite both national and foreign investment in energy, logistics, industry, infrastructure, agro-industry, mining, tourism"
M_64,M_64_peace_and_security,Peace and security,"In 2025, the world witnessed more armed conflicts than in any year since 1946."
M_64,M_64_ai_digital_transformation,AI / digital transformation,Artificial intelligence will increasingly shape those possibilities.
M_64,M_64_climate_change,Climate change,Montenegro carries the identity and responsibility of an ecological state.
M_64,M_64_human_rights,Human rights,Human rights are at the heart of the society we are building at home and of the international order we promote abroad.
M_64,M_64_food_security,Food security,"Disruptions affect energy markets and global trade, but they also affect food security through the supply and price of fertilizers."
M_65,M_65_peace_and_security,Peace and security,We adhere strictly to the notion of peace and repudiate violence.
M_65,M_65_development_sdgs,Development / SDGs,Inclusive development with social justice to alleviate poverty and mitigate the suffering of hundreds of millions of people.
M_65,M_65_ai_digital_transformation,AI / digital transformation,"I now wish to refer to artificial intelligence, it is a genuine technological revolution."
M_65,M_65_financing_debt,Financing / debt,We know that sanctions undermine economic and financial freedoms and hinder human development.
M_65,M_65_technology_digital_divide,Technology / digital divide,We must not widen the digital divide and digital inequality throughout the world.
M_66,M_66_development_sdgs,Development / SDGs,Only 36 percent of the 139 targets currently on track.
M_66,M_66_financing_debt,Financing / debt,A disproportionate share of revenues directed toward debt servicing rather than critical public infrastructure and social services.
M_66,M_66_global_health,Global health,Our response to HIV/AIDS combines strong political leadership with sustained community involvement.
M_66,M_66_peace_and_security,Peace and security,"Uganda remains a consistent contributor to regional stability, particularly in the Horn of Africa and the Great Lakes Region."
M_66,M_66_inequality,Inequality,Transform the 1986 Declaration into a binding operational instrument that tackles structural global inequalities.
M_67,M_67_peace_and_security,Peace and security,"Eastern DRC is a clear example... FDLR has spread genocidal ideology, committed grave abuses in eastern DRC."
M_67,M_67_development_sdgs,Development / SDGs,"addressing the conditions that leave countries vulnerable to poverty, economic shocks, and exclusion from opportunity."
M_68,M_68_peace_and_security,Peace and security,Sanctioning Russian aggressors. Imposing an arms embargo on Israel... condemning without nuance the genocide that Netanyahu continues to perpetrate in Gaza.
M_68,M_68_ai_digital_transformation,AI / digital transformation,we have to impose strict regulation on the techno-oligarchs that controls the functioning of social networks and the development of Artificial Intelligence.
M_68,M_68_migration,Migration,"Ceuta is experiencing today, where inequality, desperation and misinformation have fueled one of the biggest irregular migration crises in recent years."
M_68,M_68_development_sdgs,Development / SDGs,"the chainsaw that has cut almost a third of global development aid in just two years, Spain has doubled its investment in cooperation."
M_69,M_69_climate_change,Climate change,climate change is no longer a scientific projection. It is a reality that is already transforming people's lives.
M_69,M_69_ai_digital_transformation,AI / digital transformation,Artificial intelligence represents one of the most profound transformations humanity has ever known... How can we ensure that technological progress remains human progress?
M_69,M_69_peace_and_security,Peace and security,we continue to express our solidarity with the people of Ukraine in the face of the consequences of a war that has lasted far too long.
M_69,M_69_human_rights,Human rights,we condemn any act of aggression that violates the sovereignty and territorial integrity of a State... we support the efforts of the International Criminal Court.
M_69,M_69_technology_digital_divide,Technology / digital divide,"improving connectivity in mountain areas, narrowing the digital divide, and strengthening resilience to natural hazards."
M_70,M_70_ai_digital_transformation,AI / digital transformation,"The DRC supports the UN Global Dialogue on AI governance, as well as the creation of a global capacity-building fund."
M_70,M_70_peace_and_security,Peace and security,"My country continues to face a war of aggression led by Rwanda through its proxy, the AFC M23 in violation of its sovereignty."
M_70,M_70_human_rights,Human rights,Women and girls have suffered sexual violence while children are recruited by armed groups or deprived of education.
M_70,M_70_financing_debt,Financing / debt,"Official Development Aid has fallen by more than 23% in real terms in 2025, which is the steepest annual contraction ever recorded."
M_70,M_70_climate_change,Climate change,"It is home to a vital part of the Congo Basin, which is one of the planet's greatest climate regulators."
M_70,M_70_global_health,Global health,the Ebola virus outbreak caused by the Bundy-Bugyo strain remains a major test for our country.
M_70,M_70_development_sdgs,Development / SDGs,the Congolese roadmap for accelerating the SDGs estimates our needs at more than $7 billion.
M_71,M_71_peace_and_security,Peace and security,"Ukraine, the Middle East, the Gulf, Sudan and the Sahel are not separate crises."
M_71,M_71_ai_digital_transformation,AI / digital transformation,We stand at the dawn of a technological revolution... the artificial intelligence revolution.
M_71,M_71_migration,Migration,Agreements with countries of origin and transit help us combat irregular migration.
M_71,M_71_food_security,Food security,Food security concerns us all and demands common solutions.
M_71,M_71_human_rights,Human rights,Italy will continue to advocate for a universal moratorium on the death penalty.
M_72,M_72_ai_digital_transformation,AI / digital transformation,"Today, humanity stands on the brink of another massive transformation. I speak of artificial intelligence."
M_72,M_72_climate_change,Climate change,We aim to increase the share of renewable energy to 54 percent by 2030.
M_72,M_72_development_sdgs,Development / SDGs,"The poverty rate dropped to 4 percent, and nearly 10 million people were lifted out of poverty."
M_72,M_72_peace_and_security,Peace and security,Viewing Afghanistan solely as a source of danger will not solve the problem.
M_72,M_72_global_health,Global health,we will hold a high-level dialogue with the United Nations Population Fund on issues of demographic stability and human capital.
